epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1043.92,0.96444,2.83718,1.03602,0.77772,0.69703,0.77937,0.59213,0.82682,0.89825,0.95236,0.000412234,0.000412234,0.000412234
2,1114.69,0.96564,1.08752,1.00348,0.66625,0.77897,0.78515,0.56128,0.87145,1.03633,0.97906,0.000796076,0.000796076,0.000796076
3,1186.46,0.99538,0.98713,1.03017,0.77761,0.69142,0.79478,0.5695,0.91585,1.09132,1.00398,0.00114692,0.00114692,0.00114692
4,1257.39,0.97967,0.90932,1.02383,0.78397,0.59976,0.68558,0.51117,0.90022,1.14627,1.00765,0.0011015,0.0011015,0.0011015
5,1328.62,0.94415,0.82296,1.01417,0.81824,0.73083,0.80828,0.5987,0.89092,0.9212,0.99381,0.001052,0.001052,0.001052
6,1399.57,0.9022,0.82576,0.99945,0.77846,0.70805,0.78771,0.6019,0.81606,1.20967,0.967,0.0010025,0.0010025,0.0010025
7,1471.01,0.86505,0.7533,0.98838,0.88434,0.83952,0.9152,0.71028,0.76032,0.644,0.943,0.000953,0.000953,0.000953
8,1542.14,0.8693,0.69772,0.98446,0.91404,0.83197,0.93062,0.71069,0.79105,0.58227,0.9428,0.0009035,0.0009035,0.0009035
9,1613.02,0.83463,0.67278,0.96123,0.90033,0.87345,0.94011,0.73618,0.73876,0.5643,0.93155,0.000854,0.000854,0.000854
10,1684.91,0.81595,0.65408,0.9671,0.92705,0.88764,0.94624,0.74724,0.73116,0.53401,0.92299,0.0008045,0.0008045,0.0008045
11,1756.79,0.79746,0.62484,0.95462,0.90887,0.86577,0.94726,0.75002,0.72595,0.52728,0.91884,0.000755,0.000755,0.000755
12,1828.42,0.77165,0.60351,0.94361,0.89624,0.8643,0.9341,0.74506,0.71235,0.55826,0.91332,0.0007055,0.0007055,0.0007055
13,1900.79,0.76496,0.58768,0.94546,0.92505,0.87521,0.94329,0.75887,0.69689,0.51496,0.91384,0.000656,0.000656,0.000656
14,1972.78,0.72684,0.56126,0.92561,0.90913,0.8747,0.94575,0.76589,0.6839,0.50019,0.9106,0.0006065,0.0006065,0.0006065
15,2045.41,0.70963,0.546,0.92428,0.93928,0.89129,0.95234,0.76461,0.68939,0.47611,0.91536,0.000557,0.000557,0.000557
16,2120.54,0.69217,0.55987,0.91775,0.92891,0.86579,0.94185,0.75648,0.69837,0.49684,0.91712,0.0005075,0.0005075,0.0005075
17,2189.23,0.65665,0.50489,0.90566,0.92208,0.89319,0.95261,0.76523,0.68565,0.48911,0.91657,0.000458,0.000458,0.000458
18,2258.15,0.65021,0.47535,0.89797,0.94783,0.86711,0.94578,0.77098,0.66964,0.47896,0.91311,0.0004085,0.0004085,0.0004085
19,2328.01,0.64264,0.46068,0.89365,0.94556,0.88893,0.95859,0.78666,0.65729,0.44975,0.90796,0.000359,0.000359,0.000359
20,2396.83,0.62508,0.44223,0.89563,0.92626,0.91866,0.95916,0.79089,0.64621,0.43711,0.89671,0.0003095,0.0003095,0.0003095
21,2465.48,0.60457,0.42955,0.88397,0.93429,0.90028,0.96074,0.79597,0.621,0.42225,0.88596,0.00026,0.00026,0.00026
22,2533.95,0.58263,0.41098,0.87663,0.94374,0.89384,0.96436,0.80434,0.62046,0.41028,0.88679,0.0002105,0.0002105,0.0002105
23,2603.19,0.56307,0.40078,0.87081,0.95147,0.91906,0.96369,0.80547,0.60601,0.40599,0.88293,0.000161,0.000161,0.000161
24,2671.41,0.55665,0.39658,0.86664,0.94699,0.91013,0.96945,0.81341,0.5947,0.39322,0.8804,0.0001115,0.0001115,0.0001115
25,2740.31,0.53418,0.37765,0.85898,0.95177,0.90278,0.9706,0.81401,0.59288,0.38932,0.88024,6.2e-05,6.2e-05,6.2e-05
